landmark_id,first_frame_idx,last_frame_idx,slots_seen,creation_depth_m
0,0,1,LAE,0.5874244329355566
1,0,3,LAE,1.2102478123763603
2,0,2,LAE,0.7038531506712287
3,0,3,LAE,0.9094948627179983
4,0,3,LAE,15.793034316693085
5,0,2,LAE,12.472701412030688
6,0,10,LAE,18.30155479145697
7,0,3,LAE,1.2906663759968924
8,0,4,LAE,1.5655106147141087
9,0,4,LAE,12.7539736029816
10,0,3,LAE,1.1177613832776605
11,0,3,LAE,1.3683513671754526
12,0,4,LAE,1.5713861803370957
13,0,4,LAE,16.68640816999717
14,0,2,LAE,0.6062589258280535
15,0,5,LAE,2.0371230208481768
16,0,28,LAE,16.42496581095089
17,0,1,LAE,0.6095005215030015
18,0,2,LAE,1.1535547120994158
19,0,2,LAE,0.6440253951170122
20,0,1,LAE,25.091881976760458
21,0,3,LAE,1.9075772123516532
22,0,1,LAE,0.5998080469234679
23,0,3,LAE,22.588340660796447
24,0,4,LAE,1.363069881933571
25,0,2,LAE,0.712787645872909
26,0,4,LAE,5.380068058760839
27,0,4,LAE,17.622592894687987
28,0,10,LAE,20.516012549161076
29,0,4,LAE,22.435596871806638
30,0,3,LAE,1.063990959823686
31,0,28,LAE,14.53104710841997
32,0,2,LAE,0.7645493408145436
33,0,5,LAE,3.273109808100252
34,0,3,LAE,11.125129758812122
35,0,6,LAE,5.338618998448761
36,0,1,LAE,13.970512109259278
37,0,4,LAE,9.940345709046975
38,0,2,LAE,1.571437144963107
39,0,1,LAE,0.6340899845456376
40,0,5,LAE,17.705556908555096
41,0,2,LAE,19.22579738273693
42,0,3,LAE,11.032111324762232
43,0,8,LAE,20.36068181751335
44,0,1,LAE,8.01962325877797
45,0,6,LAE,2.550326150167119
46,0,3,LAE,1.5309732081172078
47,0,1,LAE,0.7367012049357248
48,0,5,LAE,10.873966705782244
49,0,3,LAE,10.518073977373149
50,0,4,LAE,1.9350220159827567
51,0,5,LAE,16.071869079060424
52,0,4,LAE,10.555072980487864
53,0,7,LAE,21.504199701448822
54,0,2,LAE,1.0320018810722753
55,0,4,LAE,16.011395188212703
56,0,7,LAE,24.395890742322436
57,0,1,LAE,15.250728248656038
58,0,3,LAE,1.1873708161273906
59,0,1,LAE,0.610519386357407
60,0,4,LAE,18.689739558970277
61,0,3,LAE,17.7865406547277
62,0,2,LAE,18.882830347139187
