landmark_id,first_frame_idx,last_frame_idx,slots_seen,creation_depth_m
17333,430,453,MAE|SAE,1.7253305464190514
17334,430,432,MAE,1.5482824802203834
17335,431,454,LAE|MAE|SAE,4.587299285190963
17336,429,433,SAE,0.6696326975372892
17337,429,437,MAE|SAE,0.7104845349739477
17338,429,433,SAE,0.6675649122534226
17339,429,433,SAE,0.7078194692806328
17340,429,433,SAE,4.485008093978573
17341,429,461,SAE,4.712496158022668
17342,429,433,SAE,0.6432558125261664
17343,429,437,MAE|SAE,0.7595533304059914
17344,430,434,MAE|SAE,0.7426719187604772
17345,430,438,MAE|SAE,0.7224910215840311
17346,430,438,MAE|SAE,0.730928417439407
17347,430,434,MAE|SAE,0.6351311031278417
17348,430,434,MAE|SAE,0.6620664686027098
17349,430,433,MAE|SAE,0.6816343968128549
17350,432,438,MAE|SAE,0.6827599025459165
17351,432,433,MAE|SAE,0.568749416090977
17352,432,434,MAE|SAE,0.6021623298104418
17353,432,434,MAE|SAE,0.6073040749159513
17354,432,433,MAE|SAE,0.5775433972927709
17355,432,436,MAE|SAE,0.6198385993196188
17356,432,436,MAE|SAE,0.6390092433248699
17357,432,433,MAE|SAE,0.5987714689372882
17358,432,438,MAE|SAE,0.6416636121525467
17359,432,438,MAE|SAE,0.6627055039900218
17360,432,434,MAE|SAE,0.587858611673142
17361,430,434,MAE,4.64960976208977
17362,430,434,MAE,0.663417005850205
17363,430,434,MAE,4.743160587537344
17364,430,434,MAE,2.2432228067552136
17365,430,434,MAE,0.6995218375625206
17366,430,434,MAE,0.6601284547003848
17367,432,434,MAE,0.6021657856180425
17368,432,434,MAE,0.5661224572308214
17369,432,437,MAE|SAE,0.650944639066732
17370,432,434,MAE,0.5899846208177193
17371,432,438,MAE,0.6830023637800832
17372,432,434,MAE,0.5937571502490958
17373,432,436,MAE,0.6706023414994491
17374,432,434,MAE,0.5704281089431013
17375,432,436,MAE,0.6185013017567101
17376,432,437,MAE|SAE,0.616078155645626
17377,432,438,MAE,0.6576124413506524
17378,432,434,MAE,0.6892154826943526
17379,432,436,MAE,0.6293316860158342
17380,432,436,MAE,1.0662013299283704
17381,432,434,MAE,1.332724325572441
17382,432,434,MAE,1.092686358135572
17383,432,438,MAE|SAE,1.1288601477700728
17384,432,442,MAE|SAE,1.2620098654214094
17385,432,434,MAE,3.197276497296453
17386,432,434,MAE,1.1181260892731568
17387,432,438,MAE,1.1664376507404632
17388,432,434,MAE,1.485661816879036
17389,432,434,MAE,1.4484798567787431
17390,433,438,MAE|SAE,0.6521564633521743
17391,433,436,MAE|SAE,0.6140690247782348
17392,433,434,MAE|SAE,0.5688379001743274
17393,433,438,MAE|SAE,0.631682400793269
17394,433,434,MAE|SAE,0.5689103163542768
17395,433,437,MAE|SAE,0.6206826286667506
17396,433,434,MAE|SAE,0.6630067744447188
17397,433,434,MAE|SAE,0.5809403658970799
17398,433,438,MAE|SAE,0.6610617469187285
17399,433,434,MAE|SAE,0.5796052381394676
17400,433,434,MAE|SAE,0.5653783739162491
17401,433,434,MAE|SAE,0.5826492560857067
17402,433,434,MAE|SAE,0.5739379164993114
17403,433,438,MAE|SAE,0.642559670934313
17404,433,434,MAE|SAE,0.5902049593958499
17405,431,435,LAE,4.713668766360517
17406,431,435,LAE,4.505621196851736
17407,431,435,LAE,4.7064574955519385
17408,431,435,LAE,4.6093535338437155
17409,431,435,LAE,4.683717622594612
17410,431,435,LAE,3.223908005278907
17411,431,435,LAE,4.665964088517448
17412,431,447,LAE,3.620079331717358
17413,431,447,LAE,4.679649796266517
17414,431,439,LAE,3.8503746990990444
17415,431,435,LAE,4.969143347017958
17416,431,435,LAE,4.509865683814719
17417,431,447,LAE|MAE,4.580623650507603
17418,431,439,LAE,4.361016597404353
17419,431,439,LAE,4.455522263135102
17420,431,435,LAE,4.680379266480962
17421,431,439,LAE,4.587377573756653
17422,431,435,LAE,4.588461625973696
17423,431,435,LAE,4.414017871568765
17424,431,435,LAE,4.714684202032759
17425,431,435,LAE,4.461939201828379
17426,431,435,LAE,4.163933591701058
17427,431,435,LAE,4.673738444326659
17428,431,435,LAE,4.532191033878459
17429,431,435,LAE,3.461609424535169
17430,431,435,LAE,4.715849368109152
17431,432,436,MAE,0.6342621924471202
17432,432,437,MAE|SAE,0.6295272595842619
17433,432,436,MAE,0.6430988881190416
17434,432,436,MAE,1.158982386175959
17435,432,436,MAE,1.3760769212438362
17436,432,436,MAE,1.1695939024037463
17437,432,438,MAE,1.210558053313805
17438,432,450,MAE|SAE,1.5624468638823659
17439,433,437,MAE|SAE,0.6105887461761332
17440,433,436,MAE|SAE,0.6150714411653366
17441,433,438,MAE|SAE,0.6262411183493195
17442,433,436,MAE|SAE,0.6581021402100525
17443,434,437,MAE|SAE,0.5843614719087917
17444,434,436,MAE,0.6174089586055599
17445,434,436,MAE,0.6360239848719965
17446,434,436,MAE,0.5940292606975838
17447,434,438,MAE,0.6251346105397855
17448,434,436,MAE,0.5879932787780879
17449,434,438,MAE|SAE,0.6287186098399641
17450,434,436,MAE,1.0070551272455586
17451,434,436,MAE,0.9848856883727638
17452,434,444,MAE,1.2205014413472135
17453,434,446,MAE,1.3553826021545687
17454,434,438,MAE,1.1169014057067448
17455,434,436,MAE,1.1423427903430177
17456,434,436,MAE,0.9870476279628165
17457,433,457,MAE|SAE,4.473542583313459
17458,433,437,SAE,4.502730688010582
17459,433,437,SAE,0.6302949797235697
17460,433,437,SAE,4.32992562157925
17461,434,438,MAE|SAE,0.641130898475563
17462,434,437,MAE|SAE,0.6418541467741182
17463,434,438,MAE|SAE,1.0808592596333426
17464,436,437,MAE|SAE,0.5302240730920621
17465,436,438,MAE|SAE,0.5639056993872952
17466,436,438,MAE|SAE,0.5673310499318311
17467,436,438,MAE|SAE,0.5677046030139261
17468,436,438,MAE|SAE,0.5787150126371347
17469,436,438,MAE|SAE,0.556773750827233
17470,436,437,MAE|SAE,0.5448378998525751
17471,434,438,MAE,0.6165470165932458
17472,436,438,MAE,0.5805510797758204
17473,436,438,MAE,0.5693678444794993
17474,436,438,MAE,0.5385198291911851
17475,436,438,MAE,0.5434448883903132
17476,436,438,MAE,0.5389368617297651
17477,436,438,MAE,0.5535562311219093
17478,436,438,MAE,0.5362339796873423
17479,436,438,MAE,0.9768926784350119
17480,436,444,MAE,1.2661258555487076
17481,436,438,MAE,0.9614057342334374
17482,436,438,MAE,0.9661071358922022
17483,436,444,MAE,1.1601977129433143
17484,436,442,MAE,1.135253149075395
17485,436,438,MAE,1.0673558924645712
17486,436,442,MAE|SAE,1.1641296749120082
17487,436,442,MAE,1.106549053737834
17488,436,438,MAE,0.9359927193899594
17489,437,438,MAE|SAE,0.540061204880861
17490,437,438,MAE|SAE,0.5461414029193372
17491,437,438,MAE|SAE,0.5452705542731886
17492,437,438,MAE|SAE,0.5420005957546083
17493,435,439,LAE,4.448463692426355
17494,435,451,LAE|MAE|SAE,3.29405582600542
17495,435,450,LAE|MAE,3.3623807741816356
17496,435,439,LAE,4.309212331596982
17497,435,439,LAE,4.442499089506621
17498,435,439,LAE,4.950370175008233
17499,435,439,LAE,4.453722899543927
17500,435,439,LAE,3.235613045815025
17501,435,452,LAE|MAE,4.354327377956794
17502,435,439,LAE,4.448847091429102
17503,435,439,LAE,4.450125969375016
17504,435,443,LAE|MAE,4.6668059640488515
17505,435,439,LAE,4.5727250769281325
17506,435,439,LAE,3.641483204793867
17507,436,440,MAE,4.958287653595498
17508,436,444,MAE,1.1570257214810573
17509,436,440,MAE,1.0384756950859622
17510,437,448,MAE|SAE,4.404551916491423
17511,437,440,MAE|SAE,4.5336529151499585
17512,437,478,MAE|SAE,3.2343035147746413
17513,437,440,MAE|SAE,1.1749826504184957
17514,438,484,MAE|SAE,3.8513682362762007
17515,438,440,MAE,0.9709142126697249
17516,438,440,MAE,0.9861702576398529
17517,438,440,MAE,1.1230437103690283
17518,438,444,MAE,1.1112404449337614
17519,438,440,MAE,1.0196759556359334
17520,438,440,MAE,0.9759980785265968
17521,438,450,MAE,1.2766877233981384
17522,438,450,MAE,1.2563599141153918
17523,438,442,MAE,1.1028726546940852
17524,438,440,MAE,1.0276387986207052
17525,438,444,MAE,1.136869086477633
17526,438,440,MAE,1.0202227224355016
17527,438,444,MAE,1.144622874569889
17528,439,441,LAE|MAE|SAE,2.165584905126954
17529,439,440,LAE|MAE,4.244283800977121
17530,437,441,SAE,4.37439108181387
17531,438,441,MAE|SAE,0.9922358656667869
17532,440,449,MAE|SAE,4.617868968919188
