ate_max,ate_median,ate_rmse,cross_exposure_pct,run,scale,variant,zero_obs_rate
4.49353992878257,2.697803787791332,2.7967416650577586,0.0,ae_0fps,1.015973935759304,incremental,0.027604630454140695
4.529472538099689,2.71345154591801,2.801122403877801,0.0,ae_0fps,1.016079981377661,global_ba,0.027604630454140695
14.745012840259482,8.491896652658248,9.293583432419897,0.0,ae_10fps,1.5295876522506153,incremental,0.10576923076923077
14.570404739188596,8.445757671237171,9.232656650928918,0.0,ae_10fps,1.5362255839435386,global_ba,0.10576923076923077
2.5819896173475314,0.8765636036973246,1.1957990521645576,44.755545365965496,b_0fps,1.1070523014235194,incremental,0.008333333333333333
2.6065800248308766,0.8534238333657662,1.2208924492705904,44.755545365965496,b_0fps,1.1058024217421647,global_ba,0.008333333333333333
6.824806903103604,2.7909334465739137,3.7546646111881103,51.81747008164635,b_10fps,1.3523171238962275,incremental,0.04827586206896552
6.816896171961832,2.7833407317186616,3.7339531694930543,51.81747008164635,b_10fps,1.351217976512747,global_ba,0.04827586206896552
0.25048545464949057,0.028668322793143717,0.05531527016969488,0.0,vachon_n1_0fps,1.0082477865377055,incremental,0.0
0.24753764091250646,0.0280245047442872,0.057528876068570794,0.0,vachon_n1_0fps,1.0078617200182387,global_ba,0.0
0.2660376038680334,0.09674017058004857,0.11627106526858058,0.0,vachon_n1_5fps,1.0106021106181382,incremental,0.0
0.1599241850445033,0.0682394620125754,0.08012919140127939,0.0,vachon_n1_5fps,1.0078662646010133,global_ba,0.0
1.7516918097477212,0.09599429764368374,0.26058218684779166,52.6144382124118,vachon_n3_0fps,1.0341907915150754,incremental,0.004629629629629629
3.061450274250065,0.09151787397914121,0.35032562704932635,52.6144382124118,vachon_n3_0fps,1.0291536021170515,global_ba,0.004629629629629629
0.22773595107723327,0.053054460281124045,0.07931225773851494,66.68026101141925,vachon_n3_0fps_equal,1.0125933028346068,incremental,0.0
0.2142263560555725,0.043984709068201455,0.06813514164543963,66.68026101141925,vachon_n3_0fps_equal,1.0076826409169999,global_ba,0.0
0.8024822759869269,0.13550689951352313,0.26408935244497495,63.195013941282596,vachon_n3_5fps,0.9818108370669708,incremental,0.017964071856287425
0.7748734120197132,0.19131486350135207,0.31069061299345896,63.195013941282596,vachon_n3_5fps,1.0001488202527489,global_ba,0.017964071856287425
0.8414614757251575,0.3117248685480918,0.39149069900017447,0.0,vachon_tunnel_n1_5fps,1.1134258703405473,incremental,0.0
0.9628026895442411,0.19276291485099503,0.30872122734368923,0.0,vachon_tunnel_n1_5fps,1.0734788825629462,global_ba,0.0
1.1692141516081047,0.09721376914551408,0.28526610585164724,41.053227633069085,vachon_tunnel_n3_5fps,1.0798254198530315,incremental,0.0625
2.5129016062094056,0.13368572389418854,0.5516539437719127,41.053227633069085,vachon_tunnel_n3_5fps,1.0752543669918508,global_ba,0.0625
