ate_max,ate_median,ate_rmse,cross_exposure_pct,run,scale,variant,zero_obs_rate
6.62901935115026,4.129399714783242,4.303963718136429,0.0,ae_0fps,1.0642511044431209,incremental,0.027604630454140695
6.606645917256514,4.181460361974731,4.289020863356382,0.0,ae_0fps,1.072789572099176,global_ba,0.027604630454140695
15.142660140603683,9.062373069711988,9.605491455110307,0.0,ae_10fps,1.535515055271302,incremental,0.10576923076923077
17.83934305744898,8.959652543531499,9.76812124680317,0.0,ae_10fps,1.530092803431915,global_ba,0.10576923076923077
3.2744449745773516,0.40775457569973694,1.0036766865861513,44.755545365965496,b_0fps,1.22735955218998,incremental,0.008333333333333333
4.340866752542773,0.49422830575398125,1.097534878342859,44.755545365965496,b_0fps,1.2384330329419269,global_ba,0.008333333333333333
6.581484610436053,2.5867577451040424,3.676944950811742,51.81747008164635,b_10fps,1.3870521357562775,incremental,0.04827586206896552
6.832512222494758,2.598597673502361,3.7929809797165848,51.81747008164635,b_10fps,1.398066554654184,global_ba,0.04827586206896552
0.24963204681681606,0.027792942787195376,0.06241912676318,0.0,vachon_n1_0fps,1.0118919661349361,incremental,0.0
0.2527638127584071,0.030231708399169242,0.0665474602826362,0.0,vachon_n1_0fps,1.0113434007820834,global_ba,0.0
0.23428316638013122,0.08679214596103862,0.10083167965862393,0.0,vachon_n1_5fps,1.015740400952235,incremental,0.0
0.15377032152874834,0.06581066615324921,0.07496295824378138,0.0,vachon_n1_5fps,1.0065908856322467,global_ba,0.0
1.7352866636008613,0.11364148213988395,0.26535414496102183,52.6144382124118,vachon_n3_0fps,1.0436972257973354,incremental,0.004629629629629629
3.6349158770005583,0.09230941448746441,0.384306461441655,52.6144382124118,vachon_n3_0fps,1.0288965308662525,global_ba,0.004629629629629629
0.22626172555915375,0.04872626859985277,0.07629145526119019,66.68026101141925,vachon_n3_0fps_equal,1.0127338678880065,incremental,0.0
0.20608556498060157,0.04190386165710021,0.06345729798123655,66.68026101141925,vachon_n3_0fps_equal,1.007502783125635,global_ba,0.0
0.726500383618497,0.15055642647646034,0.23534680431347035,63.195013941282596,vachon_n3_5fps,0.9800849816347489,incremental,0.017964071856287425
0.7340772111114076,0.12495640026854149,0.22446757783259008,63.195013941282596,vachon_n3_5fps,0.9754612362805073,global_ba,0.017964071856287425
0.6482619333578767,0.1973440175699619,0.27664561934175624,0.0,vachon_tunnel_n1_5fps,1.0335517347896128,incremental,0.0
0.8413088160872436,0.15226816813814145,0.27931131186422903,0.0,vachon_tunnel_n1_5fps,1.0358492802117785,global_ba,0.0
1.43670198455399,0.031055228370455004,0.31517519908096503,41.053227633069085,vachon_tunnel_n3_5fps,0.9134231318425166,incremental,0.0625
3.1262179607370912,0.04217167321248001,0.48042743606524757,41.053227633069085,vachon_tunnel_n3_5fps,0.9590974236648893,global_ba,0.0625
